,positionId,positionName,companyId,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,city,district,salary,workYear,education,positionAdvantage
0,7610582,应用开发工程师（智能化应用方向）,24459,中银金融商务有限公司,2000人以上,金融,不需要融资,开发|测试|运维类,后端开发,Java,北京,海淀区,20k-35k,3-5年,本科,六险一金 节日福利 高温补助 绩效奖金
1,9476415,java高级工程师,73943,上海抱朴信息技术有限公司,150-500人,"在线医疗,工具类产品",B轮,开发|测试|运维类,后端开发,Java,上海,杨浦区,20k-40k,3-5年,本科,免费午餐，水果，零食 ，10天带薪病假，BAT大牛
2,8534568,java开发工程师,1880,北京达佳互联信息技术有限公司,2000人以上,短视频,上市公司,开发|测试|运维类,后端开发,Java,北京,海淀区,25k-40k,3-5年,本科,免费三餐、房补、打车报销、免费健身房理发店
3,5502041,Java开发工程师,32720,招银网络科技（深圳）有限公司,2000人以上,科技金融,不需要融资,开发|测试|运维类,后端开发,Java,深圳,南山区,15k-25k,1-3年,本科,大平台 行业领先 福利待遇好
4,8851851,Java开发工程师,50702,北京三快在线科技有限公司,2000人以上,消费生活,上市公司,开发|测试|运维类,后端开发,Java,北京,朝阳区,35k-55k,3-5年,本科,核心外卖，百万QPS，团队拥有深厚的技术
5,9168718,java开发工程师,147,北京拉勾网络技术有限公司,500-2000人,"工具类产品,在线教育",D轮及以上,开发|测试|运维类,后端开发,Java,北京,海淀区,15k-25k,3-5年,本科,拥有自主研发实力强大的多语言全栈式技术
6,8499628,java开发工程师,171273,兴业数字金融服务（上海）股份有限公司,500-2000人,科技金融,不需要融资,开发|测试|运维类,后端开发,Java,成都,武侯区,14k-28k,不限,本科,银行科技、国际化
7,8360238,高级java开发工程师,147,北京拉勾网络技术有限公司,500-2000人,"工具类产品,在线教育",D轮及以上,开发|测试|运维类,后端开发,Java,北京,海淀区,25k-35k,3-5年,本科,双休，发展空间大，为你职业发展负责的团队
8,9070266,Java开发工程师,171273,兴业数字金融服务（上海）股份有限公司,500-2000人,科技金融,不需要融资,开发|测试|运维类,后端开发,Java,福州,马尾区,14k-28k,不限,本科,科技金融
9,9337399,高级Java开发工程师,50702,北京三快在线科技有限公司,2000人以上,消费生活,上市公司,开发/测试/运维类,后端开发,Java,北京,朝阳区,25k-45k,不限,不限,大平台
10,9396916,java开发工程师,734091,浙江诺诺网络科技有限公司,500-2000人,IT技术服务｜咨询,不需要融资,开发|测试|运维类,后端开发,Java,杭州,西湖区,13k-20k,1-3年,本科,团队氛围好，发展前景好，福利待遇好
11,9152936,java开发工程师,1880,北京达佳互联信息技术有限公司,2000人以上,短视频,上市公司,开发|测试|运维类,后端开发,Java,北京,海淀区,20k-40k,3-5年,本科,大厂环境，福利好，发展前景可观，弹性工作
12,9629768,java开发工程师,86102449,深圳市德科信息技术有限公司,2000人以上,物联网,不需要融资,开发|测试|运维类,后端开发,Java,深圳,福田区,10k-16k,1-3年,本科,大厂，环境好，技术牛
13,9630145,java开发工程师,122457385,杭州银勤科技有限公司,50-150人,"电商平台,物联网",A轮,开发|测试|运维类,后端开发,Java,杭州,滨江区,15k-30k,3-5年,本科,国际化，快速晋升，互联网氛围，企业文化好
14,9629942,java开发工程师,84502297,深圳市法本信息技术股份有限公司,2000人以上,"人工智能服务,IT技术服务｜咨询",上市公司,开发|测试|运维类,后端开发,Java,上海,宝山区,11k-17k,3-5年,大专,知名企业
15,8033330,java高级开发工程师,122318796,北京铸云网络科技有限公司,2000人以上,"数据服务,区块链",不需要融资,开发|测试|运维类,后端开发,Java,北京,丰台区,18k-30k,5-10年,本科,自研项目，项目稳定，朝九晚六
16,7610611,应用开发助理工程师（智能化应用方向）,24459,中银金融商务有限公司,2000人以上,金融,不需要融资,开发|测试|运维类,后端开发,Java,北京,海淀区,15k-25k,1-3年,本科,六险一金 节日福利 高温补助 绩效奖金
17,9629329,java工程师,84502297,深圳市法本信息技术股份有限公司,2000人以上,"人工智能服务,IT技术服务｜咨询",上市公司,开发|测试|运维类,后端开发,Java,深圳,南山区,16k-23k,3-5年,大专,大平台
18,9341160,java高级开发工程师,123615050,深圳市富元网络科技有限公司北京分公司,150-500人,"科技金融,金融业",上市公司,开发|测试|运维类,后端开发,Java,深圳,南山区,30k-50k,5-10年,本科,核心岗位，浓厚技术深度，提供广阔的发展平台
19,9352635,高级java开发工程师,9085,广州致景信息科技有限公司,500-2000人,电商平台,D轮及以上,开发|测试|运维类,高端技术职位,技术经理,广州,海珠区,20k-40k,10年以上,大专,独角兽 年底双薪 年终奖 弹性上班
20,9015532,java工程师,9085,广州致景信息科技有限公司,500-2000人,电商平台,D轮及以上,开发|测试|运维类,后端开发,Java,广州,海珠区,15k-30k,5-10年,本科,独角兽企业 年底双薪 年终奖金 弹性打卡
21,8398057,java开发工程师,41258,国泰君安证券股份有限公司,2000人以上,金融业,上市公司,开发|测试|运维类,后端开发,Java,上海,静安区,30k-35k,1-3年,本科,头部券商，金融科技
22,9630885,java开发工程师,417833,深圳市拓保软件有限公司,2000人以上,数据服务,未融资,开发|测试|运维类,后端开发,Java,深圳,,13k-26k,3-5年,大专,大厂项目+年终奖+带薪年假
23,9630949,java工程师,122499704,江苏种梦客网络科技有限公司,50-150人,软件开发,未融资,开发|测试|运维类,后端开发,Java,南京,,12k-22k,3-5年,大专,五险一金
24,9630732,java开发工程师,118515683,京北方信息技术股份有限公司,2000人以上,IT技术服务｜咨询,上市公司,开发|测试|运维类,后端开发,Java,青岛,,11k-17k,3-5年,本科,五险一金、职位前景好
25,9630769,java开发工程师,123505404,北京少广科技集团有限公司,150-500人,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,后端开发,Java,天津,,15k-30k,3-5年,本科,薪资待遇
26,9630715,java开发工程师,124421368,安孚信息科技服务（上海）有限公司,15-50人,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,后端开发,Java,上海,,14k-18k,3-5年,大专,五险一金、节日福利、底薪年假
27,9630757,java工程师,123505404,北京少广科技集团有限公司,150-500人,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,后端开发,Java,郑州,,15k-30k,3-5年,本科,待遇优厚
28,9630857,java开发工程师,117535620,深圳极联信息技术开发有限公司,500-2000人,软件开发,未融资,开发|测试|运维类,后端开发,Java,上海,,13k-18k,1-3年,大专,不加班
29,9630636,java开发工程师,494648,中电金信软件有限公司,2000人以上,"IT技术服务｜咨询,软件服务｜咨询",不需要融资,开发|测试|运维类,后端开发,Java,福州,,10k-13k,3-5年,本科,年终奖、六险一金、带薪年假、免费体检
30,9630649,java开发工程师,126327,山东中创软件商用中间件股份有限公司,150-500人,"信息安全,移动互联网",未融资,开发|测试|运维类,后端开发,Java,北京,,9k-15k,1-3年,本科,五险一金、年终奖、项目奖金、员工体检
31,9630715,java开发工程师,124421368,安孚信息科技服务（上海）有限公司,15-50人,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,后端开发,Java,上海,,14k-18k,3-5年,大专,五险一金、节日福利、底薪年假
32,9630636,java开发工程师,494648,中电金信软件有限公司,2000人以上,"IT技术服务｜咨询,软件服务｜咨询",不需要融资,开发|测试|运维类,后端开发,Java,福州,,10k-13k,3-5年,本科,年终奖、六险一金、带薪年假、免费体检
33,9630144,java开发工程师,28967,南方电网深圳数字电网研究院有限公司,500-2000人,移动互联网,不需要融资,开发|测试|运维类,后端开发,Java,深圳,,14k-18k,3-5年,本科,公司平台，企业福利
34,8671693,java开发工程师,452066,杭州博彦信息技术有限公司,2000人以上,"人工智能服务,软件服务｜咨询,数据服务｜咨询",上市公司,开发|测试|运维类,后端开发,Java,杭州,余杭区,10k-20k,1-3年,本科,弹性工作 周末双休
35,9470267,高级java开发工程师,734091,浙江诺诺网络科技有限公司,500-2000人,IT技术服务｜咨询,不需要融资,开发|测试|运维类,后端开发,Java,杭州,西湖区,15k-25k,3-5年,本科,发展前景好，团队氛围好，福利待遇好
36,9630084,JAVA开发工程师,40974,广州数鹏通科技有限公司,150-500人,IT技术服务｜咨询,未融资,开发|测试|运维类,后端开发,Java,广州,,9k-15k,1-3年,本科,技术大牛 周末双休 年度体检
37,8298808,Java开发工程师,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,后端开发,Java,北京,海淀区,30k-60k,不限,本科,"健身瑜伽,六险一金,团队氛围好"
38,8627141,java开发工程师,452066,杭州博彦信息技术有限公司,2000人以上,"人工智能服务,软件服务｜咨询,数据服务｜咨询",上市公司,开发|测试|运维类,后端开发,Java,杭州,余杭区,9k-15k,1-3年,大专,后端开发
39,8537217,java工程师,329,网易（杭州）网络有限公司,2000人以上,"内容资讯,游戏,音频｜视频媒体",上市公司,开发|测试|运维类,后端开发,Java,兰州,城关区,20k-30k,3-5年,本科,大平台、氛围好
40,9040625,java高级开发工程师,18139,北京京东世纪贸易有限公司,2000人以上,电商平台,上市公司,开发|测试|运维类,后端开发,Java,北京,通州区,25k-45k,5-10年,本科,大数据、高并发，内部学习及晋升机会多
41,7975314,java开发工程师,108071,浙江钧信保安服务有限公司,50-150人,数据服务｜咨询,不需要融资,开发|测试|运维类,后端开发,Java,杭州,下城区,12k-20k,3-5年,本科,965弹性工作、五险一金、福利齐全
42,7967696,JAVA高级开发工程师,18139,北京京东世纪贸易有限公司,2000人以上,电商平台,上市公司,开发|测试|运维类,后端开发,Java,北京,大兴区,20k-40k,3-5年,本科,六险一金，晋升快，发展空间大，扁平管理
43,9624638,java工程师,120708494,北京古道御今科技有限公司,50-150人,软件开发,未融资,开发|测试|运维类,后端开发,Java,北京,门头沟区,13k-19k,3-5年,本科,项目稳定，待遇优厚，双休，成熟团队
44,9624003,java开发工程师,120335704,北京星航智造科技有限公司,15-50人,"IT技术服务｜咨询,人工智能服务,物联网",A轮,开发|测试|运维类,后端开发,Java,北京,大兴区,15k-23k,3-5年,本科,团队协作，以老带新，成长快，不加班
45,8327207,java开发工程师,139755,北京京邦达贸易有限公司,2000人以上,物流｜运输,A轮,开发|测试|运维类,后端开发,Java,北京,大兴区,20k-35k,3-5年,本科,自动驾驶行业
46,9629755,Java开发工程师,6774,北京酷我科技有限公司,500-2000人,音频｜视频媒体,上市公司,开发|测试|运维类,后端开发,Java,北京,朝阳区,20k-25k,3-5年,本科,优秀产品 团队nice 福利完善
47,9628375,java开发工程师,122183523,上海至信信息科技有限公司,500-2000人,IT技术服务｜咨询,未融资,开发|测试|运维类,后端开发,Java,北京,西城区,9k-13k,1-3年,大专,Java
48,9629661,java工程师,122499704,江苏种梦客网络科技有限公司,50-150人,软件开发,未融资,开发|测试|运维类,后端开发,Java,南京,栖霞区,10k-20k,3-5年,本科,五险一金 节日福利
49,9629719,java开发工程师,124401563,膝复健人工智能科技（杭州）有限公司,15-50人,"医疗｜保健｜美容,软件服务｜咨询",未融资,开发|测试|运维类,后端开发,Java,杭州,余杭区,8k-12k,不限,本科,年终分红+绩效奖金+期权激励
50,9623424,高级java开发工程师,67594,杭州融都科技股份有限公司,150-500人,金融,上市公司,开发|测试|运维类,后端开发,Java,杭州,拱墅区,16k-18k,3-5年,本科,发展前景、工作环境
51,9624934,java开发工程师,120807009,上海零与壹软件有限公司,15-50人,工具类产品,不需要融资,开发|测试|运维类,后端开发,Java,桂林,七星区,5k-10k,不限,大专,周末双休、五险一金、节日福利、13薪、带薪年假
52,9617006,高级java开发工程师,149467,长沙宏地科技开发有限公司,50-150人,"金融,数据服务",不需要融资,开发|测试|运维类,后端开发,Java,长沙,岳麓区,15k-18k,5-10年,大专,齐全的薪资福利+发展培训机会
53,9630209,java开发工程师,124652,上海微创软件股份有限公司,2000人以上,IT技术服务｜咨询,不需要融资,开发|测试|运维类,后端开发,Java,深圳,,12k-16k,3-5年,大专,知名互联网BAT公司
54,9624638,java工程师,120708494,北京古道御今科技有限公司,50-150人,软件开发,未融资,开发|测试|运维类,后端开发,Java,北京,门头沟区,13k-19k,3-5年,本科,项目稳定，待遇优厚，双休，成熟团队
55,9624003,java开发工程师,120335704,北京星航智造科技有限公司,15-50人,"IT技术服务｜咨询,人工智能服务,物联网",A轮,开发|测试|运维类,后端开发,Java,北京,大兴区,15k-23k,3-5年,本科,团队协作，以老带新，成长快，不加班
