,positionId,positionName,companyId,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,city,district,salary,workYear,education,positionAdvantage
0,9619870,Android开发工程师,48687,珠海市魅族科技有限公司,2000人以上,"移动互联网,硬件",A轮,开发|测试|运维类,移动前端开发,JavaScript,珠海,香洲区,10k-15k,1-3年,不限,平台好，氛围佳
1,9421076,Android开发经理(J12575),6082,上海二三四五网络科技有限公司,500-2000人,"数据服务,移动互联网",上市公司,开发|测试|运维类,移动前端开发,JavaScript,上海,浦东新区,30k-50k,5-10年,本科,上市公司 六险一金 年终奖金 免费早餐
2,8590324,前端开发实习生,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,移动前端开发,其他移动前端开发,北京,海淀区,4k-8k,在校/应届,本科,"下午茶,健身瑜伽,团队氛围好,大牛带队"
3,5136347,前端开发实习生,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,综合职能|高级管理,人力资源,其他人力资源,北京,海淀区,3k-6k,不限,本科,弹性工作，免费三餐，租房补贴，休闲下午茶
4,8298769,前端开发工程师,171273,兴业数字金融服务（上海）股份有限公司,500-2000人,科技金融,不需要融资,开发|测试|运维类,前端开发,WEB前端,上海,浦东新区,13k-25k,1-3年,本科,科技金融
5,8304136,前端架构师,18139,北京京东世纪贸易有限公司,2000人以上,电商平台,上市公司,开发|测试|运维类,前端开发,WEB前端,北京,通州区,40k-80k,5-10年,本科,七险一金；餐补；免费班车；大牛云集
6,8354888,前端开发工程师,171273,兴业数字金融服务（上海）股份有限公司,500-2000人,科技金融,不需要融资,开发|测试|运维类,前端开发,WEB前端,上海,浦东新区,18k-35k,不限,本科,线上面试 补充公积金 补充商业保险
7,8339066,前端工程师,115322,深圳复临信息科技有限公司,150-500人,"软件服务｜咨询,IT技术服务｜咨询",C轮,开发|测试|运维类,前端开发,WEB前端,成都,高新区,12k-24k,3-5年,本科,导师制 五险一金 生日会 周末双休
8,6789743,前端开发工程师,32720,招银网络科技（深圳）有限公司,2000人以上,科技金融,不需要融资,开发|测试|运维类,前端开发,WEB前端,深圳,南山区,15k-25k,1-3年,本科,技术领先 金融IT 福利好 工作稳定
9,7955210,前端开发工程师,147,北京拉勾网络技术有限公司,500-2000人,"工具类产品,在线教育",D轮及以上,开发|测试|运维类,前端开发,WEB前端,北京,海淀区,15k-30k,3-5年,本科,技术分享、业务发展快
10,9419464,前端开发工程师,50702,北京三快在线科技有限公司,2000人以上,消费生活,上市公司,开发/测试/运维类,前端开发/移动开发,移动端,北京,朝阳区,20k-35k,不限,不限,效能工具
11,9629902,前端架构师,48023,埃睿迪信息技术（北京）有限公司,50-150人,"企业服务,数据服务",B轮,开发|测试|运维类,前端开发,WEB前端,北京,,35k-40k,5-10年,本科,六险一金，年度体检，有完善的晋升通道.
12,9534160,前端开发工程师（应届生&amp;实习生）,122296,上海驰骛信息科技有限公司,150-500人,"数据服务｜咨询,IT技术服务｜咨询",A轮,开发|测试|运维类,前端开发,WEB前端,上海,徐汇区,3k-6k,1年以下,本科,技术好 团队nice 近地铁 不打卡 员工餐
13,9437391,前端开发工程师,734091,浙江诺诺网络科技有限公司,500-2000人,IT技术服务｜咨询,不需要融资,开发|测试|运维类,前端开发,WEB前端,杭州,西湖区,11k-17k,1-3年,本科,发展前景好，福利待遇好，团队氛围好
14,9619178,资深前端工程师/架构师,144304,北京威动科技有限公司,150-500人,移动互联网,不需要融资,开发|测试|运维类,前端开发,WEB前端,北京,朝阳区,25k-35k,5-10年,本科,五险一金，定期体检
15,8080535,前端架构师,162148,杭州艾耕科技有限公司,150-500人,人工智能服务,A轮,开发|测试|运维类,前端开发,WEB前端,杭州,西湖区,40k-70k,5-10年,本科,AI技术大牛+工程师文化+扁平化管理
16,9629715,前端开发工程师,22862,上海中软华腾软件系统有限公司,2000人以上,IT技术服务｜咨询,上市公司,开发|测试|运维类,前端开发,WEB前端,北京,西城区,15k-20k,3-5年,本科,不加班
17,8210314,前端开发实习生,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,移动前端开发,其他移动前端开发,杭州,余杭区,5k-10k,在校/应届,本科,"下午茶,健身瑜伽,股票期权,晋升空间大"
18,9305376,前端开发实习生,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,移动前端开发,其他移动前端开发,深圳,南山区,8k-16k,在校/应届,本科,"下午茶,扁平管理,免费三餐,租房补贴"
