,positionId,positionName,companyId,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,city,district,salary,workYear,education,positionAdvantage
0,9188775,php开发工程师,117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-40k,5-10年,本科,周末双休不加班，五险一金入职交全额
1,9442981,php开发工程师,147,北京拉勾网络技术有限公司,500-2000人,"工具类产品,在线教育",D轮及以上,开发|测试|运维类,后端开发,PHP,深圳,南山区,20k-30k,不限,本科,专注于母婴服饰及周边用品
2,9630278,高级php开发工程师,122457385,杭州银勤科技有限公司,50-150人,"电商平台,物联网",A轮,开发|测试|运维类,后端开发,PHP,杭州,滨江区,15k-30k,5-10年,本科,国际化，快速晋升，互联网氛围，企业文化好
3,9149155,php开发工程师,1575,百度在线网络技术（北京）有限公司,2000人以上,"人工智能服务,信息检索,科技金融",上市公司,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-40k,1-3年,本科,发展前景
4,9630839,php开发工程师,123505404,北京少广科技集团有限公司,150-500人,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,后端开发,PHP,成都,,15k-30k,3-5年,本科,待遇优厚
5,9630411,php开发工程师,122457385,杭州银勤科技有限公司,50-150人,"电商平台,物联网",A轮,开发|测试|运维类,后端开发,PHP,杭州,,13k-20k,3-5年,本科,国际化，快速晋升，互联网氛围，企业文化好
6,9624908,php开发工程师,120807009,上海零与壹软件有限公司,15-50人,工具类产品,不需要融资,开发|测试|运维类,后端开发,PHP,桂林,七星区,4k-8k,不限,大专,周末双休、五险一金、节日福利、13薪、带薪年假
7,9617744,高级php开发工程师,324203,广州伊智信息科技有限公司,500-2000人,"软件服务｜咨询,数据服务｜咨询",不需要融资,开发|测试|运维类,后端开发,PHP,广州,番禺区,15k-25k,3-5年,本科,年终奖、未来合伙人、分红、绩效奖金
8,9623896,php开发工程师,117535620,深圳极联信息技术开发有限公司,500-2000人,软件开发,未融资,开发|测试|运维类,后端开发,PHP,上海,闵行区,13k-18k,3-5年,大专,不加班 晋升大
9,9621166,php开发工程师,124411091,太逗科技集团有限公司,150-500人,"电商平台,新媒体",不需要融资,开发|测试|运维类,后端开发,PHP,北京,丰台区,12k-16k,3-5年,本科,内部晋升机会 团队氛围nice
10,9624228,php开发工程师,117535620,深圳极联信息技术开发有限公司,500-2000人,软件开发,未融资,开发|测试|运维类,后端开发,PHP,上海,闵行区,13k-16k,1-3年,大专,带薪年假，福利待遇好
11,9620761,php开发工程师,64275,上海盛也网络技术有限公司,50-150人,消费生活,未融资,开发|测试|运维类,后端开发,PHP,上海,闵行区,17k-25k,3-5年,本科,年终+补贴+免费晚餐
12,9630210,php开发工程师,122764464,北京新锦程人力资源有限公司,15-50人,"工具类产品,IT技术服务｜咨询,专业服务｜咨询",未融资,开发|测试|运维类,后端开发,PHP,北京,,30k-50k,1-3年,本科,薪资可谈
13,9243694,PHP/Go开发工程师(J10028),117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,后端开发,北京,海淀区,20k-40k,5-10年,大专,团队氛围nice，高成长
14,9624120,php开发工程师,19179,北京共兴伟业科技有限公司,15-50人,移动互联网,未融资,开发|测试|运维类,后端开发,PHP,北京,朝阳区,15k-20k,3-5年,本科,核心项目、年终奖金、扁平管理、团队氛围好
15,9322681,php后端开发工程师,1575,百度在线网络技术（北京）有限公司,2000人以上,"人工智能服务,信息检索,科技金融",上市公司,开发|测试|运维类,后端开发,PHP,北京,海淀区,25k-50k,1-3年,本科,自动驾驶 PHP 后端开发
16,9619498,PHP开发工程师,109217,志诺维思（北京）基因科技有限公司,50-150人,"人工智能服务,数据服务｜咨询",B轮,开发|测试|运维类,后端开发,PHP,北京,海淀区,15k-22k,5-10年,本科,全勤奖 定期体检团建 五险一金双休 节日福利
17,9220894,php开发工程师,118622,北京泛为信息科技有限公司,150-500人,营销服务｜咨询,不需要融资,开发|测试|运维类,后端开发,PHP,上海,浦东新区,15k-25k,1-3年,本科,高绩效；弹性作息
18,9611930,php开发工程师,22862,上海中软华腾软件系统有限公司,2000人以上,IT技术服务｜咨询,上市公司,开发|测试|运维类,后端开发,PHP,深圳,福田区,14k-19k,3-5年,大专,项目长期稳定 地铁口附近
