,positionId,positionName,companyId,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,city,district,salary,workYear,education,positionAdvantage
0,9270600,python,121765000,上海彩住科技有限责任公司,少于15人,"旅游,数据服务",不需要融资,公务员|其他,后端开发,Python,上海,闵行区,20k-40k,3-5年,本科,大厂高工带队、全Mac开发环境、股票期权激励
1,7941641,网络研发工程师,24988,北京易捷思达科技发展有限公司,150-500人,数据服务,D轮及以上,开发|测试|运维类,后端开发,Python,北京,海淀区,15k-30k,3-5年,本科,"大牛多,提升空间大,扁平化管理,弹性工作制"
2,8815925,高级Python开发工程师（平台研发方向）,121645,上海茗日智能科技有限公司,15-50人,人工智能服务,A轮,开发|测试|运维类,后端开发,Python,上海,静安区,25k-48k,3-5年,本科,人工智能，前沿科技
3,7667282,Python后端开发工程师（应用开发方向）BJ,121645,上海茗日智能科技有限公司,15-50人,人工智能服务,A轮,开发|测试|运维类,后端开发,Python,北京,朝阳区,12k-23k,1-3年,本科,人工智能 、前沿科技 、快速发展机会
4,9527280,高级Python开发工程师 (MJ000005),498595,翼健（上海）信息科技有限公司,150-500人,数据服务｜咨询,B轮,开发|测试|运维类,后端开发,Python,上海,长宁区,15k-25k,3-5年,本科,前景广阔，团队好
5,9523630,Python后端开发工程师 (MJ000087),498595,翼健（上海）信息科技有限公司,150-500人,数据服务｜咨询,B轮,开发|测试|运维类,后端开发,Python,上海,长宁区,15k-30k,3-5年,本科,发展速度快，大牛团队
6,9614313,python开发工程师,123221955,厦门喵柚网络科技有限公司,50-150人,"区块链,数据服务｜咨询,IT技术服务｜咨询",A轮,开发|测试|运维类,后端开发,Python,厦门,思明区,10k-18k,1-3年,大专,大场技术产品带队，专业量化人员交流
7,9537446,python开发工程师,13171,秒针信息技术有限公司,2000人以上,"数据服务｜咨询,人工智能服务",D轮及以上,开发|测试|运维类,后端开发,Python,上海,徐汇区,15k-26k,3-5年,本科,七险一金，弹性工作，不打卡，年终奖
8,6884621,Python工程师,124262,深圳佑驾创新科技有限公司,150-500人,人工智能服务,D轮及以上,开发|测试|运维类,后端开发,Python,深圳,南山区,15k-30k,1-3年,本科,"无人驾驶,海归团队,车厂合作,扁平管理"
9,9453905,python开发工程师,2646,在线途游（北京）科技有限公司,150-500人,游戏,B轮,开发|测试|运维类,后端开发,Python,北京,朝阳区,20k-30k,1-3年,本科,老板nice 福利多多
10,9612233,Python开发工程师,57247,北京网田科技发展有限公司,50-150人,移动互联网,A轮,开发|测试|运维类,后端开发,Python,北京,海淀区,15k-20k,3-5年,本科,人工智能，AI，技术超前，大牛带队，发展空间大
11,9411902,Python后端高级开发工程师——抖音,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,后端开发,其他后端开发,北京,海淀区,25k-50k,1-3年,本科,"下午茶,健身瑜伽,六险一金,五险一金"
12,9337894,Python后端高级开发工程师 — 抖音,62,北京字节跳动网络技术有限公司,2000人以上,"内容资讯,短视频",D轮及以上,开发|测试|运维类,后端开发,其他后端开发,深圳,南山区,30k-60k,1-3年,本科,"下午茶,健身瑜伽,六险一金,团队氛围好"
13,7939430,python开发工程师,589,广州多益网络股份有限公司,2000人以上,游戏,不需要融资,开发|测试|运维类,移动前端开发,COCOS2D-X,广州,萝岗区,9k-18k,不限,不限,互联网百强
14,9280654,python工程师,117689693,跨维（广州）智能科技有限公司,15-50人,人工智能,天使轮,开发|测试|运维类,后端开发,Python,广州,天河区,17k-30k,1-3年,本科,行业前景开阔，优异多结构薪资，技术大佬带教
